neighborhood,price,rooms,area,category,price_per_m2
Mjull bathore,302000,2.0,137.0,sale,2204.3795620437954
Mjull bathore,317000,2.0,144.0,sale,2201.3888888888887
Mjull bathore,225802,1.0,76.0,sale,2971.0789473684213
Mjull bathore,445328,2.0,124.0,sale,3591.3548387096776
Mjull bathore,180000,2.0,82.0,sale,2195.121951219512
Mjull bathore,255462,2.0,120.0,sale,2128.85
Mjull bathore,310000,2.0,127.0,sale,2440.9448818897636
Mjull bathore,185000,1.0,108.0,sale,1712.962962962963
Mjull bathore,205000,1.0,105.0,sale,1952.3809523809523
Mjull bathore,698000,3.0,220.0,sale,3172.7272727272725
Mjull bathore,1018000,3.0,341.0,sale,2985.3372434017597
Mjull bathore,703500,3.0,220.0,sale,3197.7272727272725
Mjull bathore,724000,3.0,220.0,sale,3290.909090909091
Mjull bathore,746600,3.0,220.0,sale,3393.6363636363635
Mjull bathore,318200,2.0,127.0,sale,2505.511811023622
Mjull bathore,385400,3.0,186.0,sale,2072.043010752688
Mjull bathore,295000,3.0,126.0,sale,2341.2698412698414
Mjull bathore,121000,2.0,121.0,sale,1000.0
Blloku,165000,1.0,53.0,sale,3113.2075471698113
Blloku,240000,2.0,86.0,sale,2790.6976744186045
Blloku,135000,1.0,44.0,sale,3068.181818181818
Blloku,94300,1.0,63.0,sale,1496.8253968253969
Blloku,235000,5.0,114.0,sale,2061.40350877193
Blloku,680000,3.0,176.0,sale,3863.6363636363635
Blloku,280000,3.0,96.0,sale,2916.6666666666665
Blloku,185000,3.0,83.0,sale,2228.9156626506024
Blloku,210000,5.0,110.0,sale,1909.090909090909
Blloku,185000,2.0,83.0,sale,2228.9156626506024
Blloku,100000,3.0,100.0,rent,1000.0
Blloku,640000,3.0,197.0,sale,3248.730964467005
Blloku,185000,2.0,84.0,sale,2202.3809523809523
Blloku,537000,3.0,179.0,sale,3000.0
Blloku,330000,4.0,100.0,sale,3300.0
Blloku,600000,2.0,197.0,sale,3045.6852791878173
Blloku,420000,2.0,121.0,sale,3471.0743801652893
Blloku,300000,2.0,96.0,sale,3125.0
Blloku,336000,2.0,112.0,sale,3000.0
Blloku,600000,3.0,197.0,sale,3045.6852791878173
